bank_name,type,total_assets,capital
Bank_0,big,8860,886.0
Bank_1,big,13390,1339.0
Bank_2,big,13226,1322.6
Bank_3,big,13191,1319.1
Bank_4,big,11772,1177.2
Bank_5,small,1544,154.4
Bank_6,small,621,62.1
Bank_7,small,966,96.6
Bank_8,small,1738,173.8
Bank_9,small,830,83.0
Bank_10,small,1982,198.2
Bank_11,small,587,58.7
Bank_12,small,1896,189.6
Bank_13,small,1623,162.3
Bank_14,small,1371,137.1
Bank_15,small,630,63.0
Bank_16,small,1832,183.2
Bank_17,small,1269,126.9
Bank_18,small,843,84.3
Bank_19,small,1937,193.7
