bank_id,bank_type,total_assets,capital
Bank_01,Core,8624,862.4
Bank_02,Core,13418,1341.8
Bank_03,Core,12582,1258.2
Bank_04,Core,11072,1107.2
Bank_05,Core,11031,1103.1
Bank_06,Periphery,1788,178.8
Bank_07,Periphery,629,62.9
Bank_08,Periphery,1546,154.6
Bank_09,Periphery,802,80.2
Bank_10,Periphery,641,64.1
Bank_11,Periphery,1290,129.0
Bank_12,Periphery,1964,196.4
Bank_13,Periphery,1604,160.4
Bank_14,Periphery,1642,164.2
Bank_15,Periphery,1576,157.6
Bank_16,Periphery,1679,167.9
Bank_17,Periphery,1270,127.0
Bank_18,Periphery,692,69.2
Bank_19,Periphery,1760,176.0
Bank_20,Periphery,1176,117.6
