lender,borrower,exposure
Bank_01,Bank_02,103.49
Bank_01,Bank_03,103.49
Bank_01,Bank_04,103.49
Bank_01,Bank_05,103.49
Bank_01,Bank_09,34.5
Bank_01,Bank_17,34.5
Bank_01,Bank_20,34.5
Bank_02,Bank_01,161.02
Bank_02,Bank_03,161.02
Bank_02,Bank_04,161.02
Bank_02,Bank_05,161.02
Bank_02,Bank_07,53.67
Bank_02,Bank_12,53.67
Bank_02,Bank_15,53.67
Bank_02,Bank_20,53.67
Bank_03,Bank_01,150.98
Bank_03,Bank_02,150.98
Bank_03,Bank_04,150.98
Bank_03,Bank_05,150.98
Bank_03,Bank_07,50.33
Bank_03,Bank_11,50.33
Bank_03,Bank_12,50.33
Bank_03,Bank_14,50.33
Bank_03,Bank_15,50.33
Bank_03,Bank_16,50.33
Bank_04,Bank_01,132.86
Bank_04,Bank_02,132.86
Bank_04,Bank_03,132.86
Bank_04,Bank_05,132.86
Bank_04,Bank_06,44.29
Bank_04,Bank_08,44.29
Bank_04,Bank_10,44.29
Bank_04,Bank_11,44.29
Bank_04,Bank_18,44.29
Bank_04,Bank_19,44.29
Bank_05,Bank_01,132.37
Bank_05,Bank_02,132.37
Bank_05,Bank_03,132.37
Bank_05,Bank_04,132.37
Bank_05,Bank_10,44.12
Bank_05,Bank_13,44.12
Bank_05,Bank_14,44.12
Bank_05,Bank_17,44.12
