scenario,simulation,shocked_bank,systemic_loss
Size-weighted failure,1,Bank_05,0.25524124537161796
Size-weighted failure,2,Bank_18,0.02025102804080488
Size-weighted failure,3,Bank_03,0.27165350518050047
Size-weighted failure,4,Bank_03,0.27165350518050047
Size-weighted failure,5,Bank_11,0.0399801622024546
Size-weighted failure,6,Bank_04,0.25567572444338144
Size-weighted failure,7,Bank_05,0.25524124537161796
Size-weighted failure,8,Bank_04,0.25567572444338144
Size-weighted failure,9,Bank_02,0.28049715681577897
Size-weighted failure,10,Bank_06,0.03452446330244111
Size-weighted failure,11,Bank_02,0.28049715681577897
Size-weighted failure,12,Bank_02,0.28049715681577897
Size-weighted failure,13,Bank_05,0.25524124537161796
Size-weighted failure,14,Bank_06,0.03452446330244111
Size-weighted failure,15,Bank_15,0.04479492221037007
Size-weighted failure,16,Bank_02,0.28049715681577897
Size-weighted failure,17,Bank_01,0.2297705054473075
Size-weighted failure,18,Bank_18,0.02025102804080488
Size-weighted failure,19,Bank_02,0.28049715681577897
Size-weighted failure,20,Bank_02,0.28049715681577897
Size-weighted failure,21,Bank_03,0.27165350518050047
Size-weighted failure,22,Bank_04,0.25567572444338144
Size-weighted failure,23,Bank_14,0.044543718812041
Size-weighted failure,24,Bank_06,0.03452446330244111
Size-weighted failure,25,Bank_05,0.25524124537161796
Size-weighted failure,26,Bank_02,0.28049715681577897
Size-weighted failure,27,Bank_03,0.27165350518050047
Size-weighted failure,28,Bank_04,0.25567572444338144
Size-weighted failure,29,Bank_02,0.28049715681577897
Size-weighted failure,30,Bank_02,0.28049715681577897
Size-weighted failure,31,Bank_03,0.27165350518050047
Size-weighted failure,32,Bank_02,0.28049715681577897
Size-weighted failure,33,Bank_04,0.25567572444338144
Size-weighted failure,34,Bank_05,0.25524124537161796
Size-weighted failure,35,Bank_01,0.2297705054473075
Size-weighted failure,36,Bank_04,0.25567572444338144
Size-weighted failure,37,Bank_08,0.031372847122408294
Size-weighted failure,38,Bank_06,0.03452446330244111
Size-weighted failure,39,Bank_11,0.0399801622024546
Size-weighted failure,40,Bank_03,0.27165350518050047
Size-weighted failure,41,Bank_11,0.0399801622024546
Size-weighted failure,42,Bank_02,0.28049715681577897
Size-weighted failure,43,Bank_03,0.27165350518050047
Size-weighted failure,44,Bank_02,0.28049715681577897
Size-weighted failure,45,Bank_04,0.25567572444338144
Size-weighted failure,46,Bank_03,0.27165350518050047
